Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
ATU Galway-Mayo,2024,All,Great Britain,All,15
ATU Sligo,2024,All,Great Britain,All,150
,2024,All,Great Britain,All,175
Dublin City University,2024,All,Great Britain,All,55
,2024,All,Great Britain,All,55
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,Great Britain,All,10
,2024,All,Great Britain,All,10
Dundalk IT,2024,All,Great Britain,All,5
,2024,All,Great Britain,All,5
"Mary Immaculate College, Limerick",2024,All,Great Britain,All,0
,2024,All,Great Britain,All,0
Maynooth University,2024,All,Great Britain,All,25
,2024,All,Great Britain,All,25
MTU Cork,2024,All,Great Britain,All,25
MTU Kerry,2024,All,Great Britain,All,5
,2024,All,Great Britain,All,35
National College of Art and Design,2024,All,Great Britain,All,0
,2024,All,Great Britain,All,0
National College of Ireland,2024,All,Great Britain,All,0
,2024,All,Great Britain,All,0
Royal College of Surgeons,2024,All,Great Britain,All,55
,2024,All,Great Britain,All,55
SETU Carlow,2024,All,Great Britain,All,30
SETU Waterford,2024,All,Great Britain,All,5
,2024,All,Great Britain,All,35
"St. Angelas College of Home Economics, Sligo",2024,All,Great Britain,All,0
,2024,All,Great Britain,All,0
TU Dublin Blanchardstown,2024,All,Great Britain,All,5
TU Dublin City,2024,All,Great Britain,All,95
TU Dublin Tallaght,2024,All,Great Britain,All,40
,2024,All,Great Britain,All,140
TUS Athlone,2024,All,Great Britain,All,0
TUS Limerick,2024,All,Great Britain,All,5
,2024,All,Great Britain,All,10
Trinity College Dublin,2024,All,Great Britain,All,380
,2024,All,Great Britain,All,380
University College Cork,2024,All,Great Britain,All,155
,2024,All,Great Britain,All,155
University College Dublin,2024,All,Great Britain,All,150
,2024,All,Great Britain,All,150
University of Galway,2024,All,Great Britain,All,75
,2024,All,Great Britain,All,75
University of Limerick,2024,All,Great Britain,All,50
,2024,All,Great Britain,All,50
TOTAL,2024,All,Great Britain,All,1365
ATU Donegal,2024,All,Ireland,All,4185
ATU Galway-Mayo,2024,All,Ireland,All,7495
ATU Sligo,2024,All,Ireland,All,12705
,2024,All,Ireland,All,24385
Dublin City University,2024,All,Ireland,All,17605
,2024,All,Ireland,All,17605
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,Ireland,All,2130
,2024,All,Ireland,All,2130
Dundalk IT,2024,All,Ireland,All,4405
,2024,All,Ireland,All,4405
"Mary Immaculate College, Limerick",2024,All,Ireland,All,4775
,2024,All,Ireland,All,4775
Maynooth University,2024,All,Ireland,All,14250
,2024,All,Ireland,All,14250
MTU Cork,2024,All,Ireland,All,11410
MTU Kerry,2024,All,Ireland,All,2980
,2024,All,Ireland,All,14390
National College of Art and Design,2024,All,Ireland,All,1425
,2024,All,Ireland,All,1425
National College of Ireland,2024,All,Ireland,All,3670
,2024,All,Ireland,All,3670
Royal College of Surgeons,2024,All,Ireland,All,3335
,2024,All,Ireland,All,3335
SETU Carlow,2024,All,Ireland,All,6250
SETU Waterford,2024,All,Ireland,All,8080
,2024,All,Ireland,All,14335
"St. Angelas College of Home Economics, Sligo",2024,All,Ireland,All,1480
,2024,All,Ireland,All,1480
TU Dublin Blanchardstown,2024,All,Ireland,All,2640
TU Dublin City,2024,All,Ireland,All,15240
TU Dublin Tallaght,2024,All,Ireland,All,4910
,2024,All,Ireland,All,22790
TUS Athlone,2024,All,Ireland,All,4890
TUS Limerick,2024,All,Ireland,All,6880
,2024,All,Ireland,All,11770
Trinity College Dublin,2024,All,Ireland,All,14140
,2024,All,Ireland,All,14140
University College Cork,2024,All,Ireland,All,20515
,2024,All,Ireland,All,20515
University College Dublin,2024,All,Ireland,All,26730
,2024,All,Ireland,All,26730
University of Galway,2024,All,Ireland,All,16030
,2024,All,Ireland,All,16030
University of Limerick,2024,All,Ireland,All,16185
,2024,All,Ireland,All,16185
TOTAL,2024,All,Ireland,All,234340
ATU Donegal,2024,All,Non-EU,All,1015
ATU Galway-Mayo,2024,All,Non-EU,All,325
ATU Sligo,2024,All,Non-EU,All,540
,2024,All,Non-EU,All,1885
Dublin City University,2024,All,Non-EU,All,1490
,2024,All,Non-EU,All,1490
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,Non-EU,All,120
,2024,All,Non-EU,All,120
Dundalk IT,2024,All,Non-EU,All,405
,2024,All,Non-EU,All,405
"Mary Immaculate College, Limerick",2024,All,Non-EU,All,85
,2024,All,Non-EU,All,85
Maynooth University,2024,All,Non-EU,All,925
,2024,All,Non-EU,All,925
MTU Cork,2024,All,Non-EU,All,310
MTU Kerry,2024,All,Non-EU,All,255
,2024,All,Non-EU,All,560
National College of Art and Design,2024,All,Non-EU,All,50
,2024,All,Non-EU,All,50
National College of Ireland,2024,All,Non-EU,All,2420
,2024,All,Non-EU,All,2420
Royal College of Surgeons,2024,All,Non-EU,All,2190
,2024,All,Non-EU,All,2190
SETU Carlow,2024,All,Non-EU,All,395
SETU Waterford,2024,All,Non-EU,All,360
,2024,All,Non-EU,All,755
"St. Angelas College of Home Economics, Sligo",2024,All,Non-EU,All,0
,2024,All,Non-EU,All,0
TU Dublin Blanchardstown,2024,All,Non-EU,All,100
TU Dublin City,2024,All,Non-EU,All,1005
TU Dublin Tallaght,2024,All,Non-EU,All,330
,2024,All,Non-EU,All,1435
TUS Athlone,2024,All,Non-EU,All,515
TUS Limerick,2024,All,Non-EU,All,445
,2024,All,Non-EU,All,960
Trinity College Dublin,2024,All,Non-EU,All,4630
,2024,All,Non-EU,All,4630
University College Cork,2024,All,Non-EU,All,3500
,2024,All,Non-EU,All,3500
University College Dublin,2024,All,Non-EU,All,6025
,2024,All,Non-EU,All,6025
University of Galway,2024,All,Non-EU,All,3170
,2024,All,Non-EU,All,3170
University of Limerick,2024,All,Non-EU,All,2340
,2024,All,Non-EU,All,2340
TOTAL,2024,All,Non-EU,All,32940
ATU Donegal,2024,All,Northern Ireland,All,75
ATU Galway-Mayo,2024,All,Northern Ireland,All,15
ATU Sligo,2024,All,Northern Ireland,All,300
,2024,All,Northern Ireland,All,390
Dublin City University,2024,All,Northern Ireland,All,45
,2024,All,Northern Ireland,All,45
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,5
Dundalk IT,2024,All,Northern Ireland,All,220
,2024,All,Northern Ireland,All,220
"Mary Immaculate College, Limerick",2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,5
Maynooth University,2024,All,Northern Ireland,All,30
,2024,All,Northern Ireland,All,30
MTU Cork,2024,All,Northern Ireland,All,10
MTU Kerry,2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,15
National College of Art and Design,2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,5
National College of Ireland,2024,All,Northern Ireland,All,0
,2024,All,Northern Ireland,All,0
Royal College of Surgeons,2024,All,Northern Ireland,All,20
,2024,All,Northern Ireland,All,20
SETU Carlow,2024,All,Northern Ireland,All,45
SETU Waterford,2024,All,Northern Ireland,All,10
,2024,All,Northern Ireland,All,55
"St. Angelas College of Home Economics, Sligo",2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,5
TU Dublin Blanchardstown,2024,All,Northern Ireland,All,0
TU Dublin City,2024,All,Northern Ireland,All,5
TU Dublin Tallaght,2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,15
TUS Athlone,2024,All,Northern Ireland,All,5
TUS Limerick,2024,All,Northern Ireland,All,5
,2024,All,Northern Ireland,All,10
Trinity College Dublin,2024,All,Northern Ireland,All,310
,2024,All,Northern Ireland,All,310
University College Cork,2024,All,Northern Ireland,All,65
,2024,All,Northern Ireland,All,65
University College Dublin,2024,All,Northern Ireland,All,170
,2024,All,Northern Ireland,All,170
University of Galway,2024,All,Northern Ireland,All,185
,2024,All,Northern Ireland,All,185
University of Limerick,2024,All,Northern Ireland,All,30
,2024,All,Northern Ireland,All,30
TOTAL,2024,All,Northern Ireland,All,1585
ATU Donegal,2024,All,Unknown,All,0
ATU Galway-Mayo,2024,All,Unknown,All,0
ATU Sligo,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
Dublin City University,2024,All,Unknown,All,5
,2024,All,Unknown,All,5
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,Unknown,All,0
,2024,All,Unknown,All,0
Dundalk IT,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
"Mary Immaculate College, Limerick",2024,All,Unknown,All,0
,2024,All,Unknown,All,0
Maynooth University,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
MTU Cork,2024,All,Unknown,All,0
MTU Kerry,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
National College of Art and Design,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
National College of Ireland,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
Royal College of Surgeons,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
SETU Carlow,2024,All,Unknown,All,5
SETU Waterford,2024,All,Unknown,All,0
,2024,All,Unknown,All,5
"St. Angelas College of Home Economics, Sligo",2024,All,Unknown,All,0
,2024,All,Unknown,All,0
TU Dublin Blanchardstown,2024,All,Unknown,All,0
TU Dublin City,2024,All,Unknown,All,0
TU Dublin Tallaght,2024,All,Unknown,All,5
,2024,All,Unknown,All,5
TUS Athlone,2024,All,Unknown,All,0
TUS Limerick,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
Trinity College Dublin,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
University College Cork,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
University College Dublin,2024,All,Unknown,All,15
,2024,All,Unknown,All,15
University of Galway,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
University of Limerick,2024,All,Unknown,All,0
,2024,All,Unknown,All,0
TOTAL,2024,All,Unknown,All,40
ATU Donegal,2024,All,All,"Agriculture, forestry, fisheries and veterinary",270
ATU Galway-Mayo,2024,All,All,"Agriculture, forestry, fisheries and veterinary",250
ATU Sligo,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",525
Dublin City University,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
